order_date,daily_revenue
2020-10-01,219672.11
2020-10-02,25912.75
2020-10-03,22259.14
2020-10-04,26586.14
2020-10-05,1280.90
2020-10-06,11036.50
2020-10-07,2325.40
2020-10-08,24034.50
2020-10-09,15510.50
2020-10-10,8522.80
2020-10-11,8790.80
2020-10-12,7242.60
2020-10-13,5253.10
2020-10-14,5974.10
2020-10-15,29931.40
2020-10-16,34352.00
2020-10-17,15175.90
2020-10-18,1571.70
2020-10-19,2531.00
2020-10-20,221.89
2020-10-21,5195.70
2020-10-22,3459.30
2020-10-23,7461.40
2020-10-24,7313.90
2020-10-25,2926.50
2020-10-26,445.30
2020-10-27,100.50
2020-10-28,2509.60
2020-10-29,20211.30
2020-10-30,711.69
2020-10-31,8029.40
2020-11-01,4291.60
2020-11-02,262.00
2020-11-04,762.30
2020-11-05,1010.82
2020-11-06,25994.69
2020-11-07,14377.11
2020-11-08,461.50
2020-11-09,2787.29
2020-11-10,115.50
2020-11-11,9071.88
2020-11-12,36359.91
2020-11-13,5525.80
2020-11-14,3868.32
2020-11-15,797.30
2020-11-16,524.00
2020-11-17,1057.10
2020-11-18,2051.02
2020-11-19,243.90
2020-11-20,516.00
2020-11-21,6984.47
2020-11-22,687.10
2020-11-23,1616.80
2020-11-25,36783.20
2020-11-26,3047.70
2020-11-27,896.01
2020-11-28,1960.73
2020-11-29,7845.10
2020-11-30,217.50
2020-12-01,9828.30
2020-12-02,4823.20
2020-12-03,3663.31
2020-12-05,2876.35
2020-12-06,535.44
2020-12-07,3667.20
2020-12-08,3813.30
2020-12-09,8625.80
2020-12-10,1287.30
2020-12-11,2089.30
2020-12-12,4731.31
2020-12-13,8234.10
2020-12-14,1803.10
2020-12-15,260.80
2020-12-16,2154.40
2020-12-17,569.80
2020-12-18,407.80
2020-12-19,3358.80
2020-12-20,71765.19
2020-12-21,46196.08
2020-12-22,3927.28
2020-12-23,38905.90
2020-12-24,16223.10
2020-12-25,14390.31
2020-12-26,19989.28
2020-12-27,43666.19
2020-12-28,16423.62
2020-12-29,22293.46
2020-12-30,7881.70
2020-12-31,15293.90
2021-01-01,27682.50
2021-01-02,7460.00
2021-01-03,11578.44
2021-01-04,2741.90
2021-01-06,1343.80
2021-01-07,3084.60
2021-01-08,3359.60
2021-01-09,259.60
2021-01-10,3956.90
2021-01-11,794.60
2021-01-13,1044.90
2021-01-14,189.70
2021-01-15,445.00
2021-01-16,118.80
2021-01-18,2300.80
2021-01-20,8829.90
2021-01-21,6979.20
2021-01-22,9858.30
2021-01-23,23551.40
2021-01-24,7090.80
2021-01-25,504.59
2021-01-26,295.00
2021-01-28,334.80
2021-01-29,10462.00
2021-01-31,240.00
2021-02-01,3341.30
2021-02-02,314.80
2021-02-03,401.70
2021-02-04,2017.00
2021-02-05,1108.30
2021-02-06,2695.70
2021-02-07,1337.50
2021-02-08,978.00
2021-02-09,1219.20
2021-02-10,246.80
2021-02-11,9848.70
2021-02-13,8021.60
2021-02-14,11692.10
2021-02-17,348.10
2021-02-18,9999.80
2021-02-19,0.00
2021-02-20,7106.30
2021-02-21,169.80
2021-02-22,103.30
2021-02-23,227.20
2021-02-24,787.53
2021-02-25,1014.80
2021-02-26,6914.30
2021-02-28,249.90
2021-03-01,8716.90
2021-03-02,122.20
2021-03-03,9229.10
2021-03-04,565.20
2021-03-05,13578.50
2021-03-06,2489.60
2021-03-08,1960.40
2021-03-11,2014.00
2021-03-12,1494.60
2021-03-14,239.50
2021-03-16,117.30
2021-03-17,1608.20
2021-03-18,88.50
2021-03-19,33.50
2021-03-20,11843.00
2021-03-21,580.90
2021-03-24,17730.00
2021-03-25,4855.70
2021-03-26,180.00
2021-03-27,12598.10
2021-03-28,128.00
2021-03-29,529.57
2021-03-30,511.56
2021-03-31,10852.90
2021-04-01,19599.55
2021-04-02,11530.00
2021-04-03,7841.60
2021-04-04,4384.50
2021-04-05,969.00
2021-04-06,385.20
2021-04-07,3939.23
2021-04-08,9583.30
2021-04-09,17681.60
2021-04-10,4614.90
2021-04-11,6229.50
2021-04-12,878.41
2021-04-14,904.20
2021-04-15,248.40
2021-04-16,17696.32
2021-04-17,15909.48
2021-04-18,11774.60
2021-04-20,487.00
2021-04-24,193.00
2021-04-25,1758.94
2021-04-26,1487.10
2021-04-27,2975.00
2021-04-30,629.80
2021-05-02,136.90
2021-05-06,130.00
2021-05-08,102.40
2021-05-09,159.90
2021-05-11,154.90
2021-05-12,11089.00
2021-05-14,129.00
2021-05-18,2654.80
2021-05-19,619.90
2021-05-21,350.00
