order_id,order_date,amount,product_id
1001,2024-06-23,812.54,P003
1002,2024-06-24,642.84,P012
1003,2024-06-10,963.58,P004
1004,2024-06-12,130.22,P002
1005,2024-06-18,333.62,P010
1006,2024-06-26,714.57,P005
1007,2024-06-13,570.08,P010
1008,2024-06-03,658.33,P006
1009,2024-06-20,625.43,P016
1010,2024-06-08,213.38,P010
1011,2024-06-05,452.3,P002
1012,2024-06-08,805.45,P017
1013,2024-06-30,615.62,P004
1014,2024-06-06,876.28,P012
1015,2024-06-05,761.02,P010
1016,2024-06-28,122.54,P004
1017,2024-06-25,978.38,P002
1018,2024-06-20,664.52,P016
1019,2024-06-22,591.18,P015
1020,2024-06-07,132.11,P019
1021,2024-06-20,453.8,P008
1022,2024-06-11,439.11,P011
1023,2024-06-01,444.6,P013
1024,2024-06-28,139.3,P012
1025,2024-06-04,776.71,P009
1026,2024-06-18,597.15,P011
1027,2024-06-30,208.81,P010
1028,2024-06-14,143.22,P015
1029,2024-06-20,533.24,P004
1030,2024-06-06,915.44,P006
1031,2024-06-16,673.56,P008
1032,2024-06-19,287.05,P019
1033,2024-06-18,396.47,P019
1034,2024-06-19,517.66,P005
1035,2024-06-19,623.31,P016
1036,2024-06-29,352.43,P017
1037,2024-06-13,440.77,P008
1038,2024-06-09,772.73,P016
1039,2024-06-28,307.74,P005
1040,2024-06-10,742.76,P011
1041,2024-06-24,769.33,P006
1042,2024-06-26,661.27,P011
1043,2024-06-19,193.74,P004
1044,2024-06-15,485.67,P017
1045,2024-06-30,712.08,P013
1046,2024-06-09,962.08,P008
1047,2024-06-20,787.26,P018
1048,2024-06-10,834.99,P010
1049,2024-06-19,359.16,P013
1050,2024-06-30,848.77,P018
1051,2024-06-28,783.81,P003
1052,2024-06-12,254.08,P020
1053,2024-06-19,463.86,P015
1054,2024-06-23,488.84,P005
1055,2024-06-27,264.94,P007
1056,2024-06-01,958.58,P012
1057,2024-06-15,690.41,P016
1058,2024-06-15,210.94,P014
1059,2024-06-23,378.0,P012
1060,2024-06-09,858.13,P009
1061,2024-06-06,116.24,P004
1062,2024-06-05,119.83,P016
1063,2024-06-07,876.99,P019
1064,2024-06-19,768.93,P001
1065,2024-06-11,855.48,P007
1066,2024-06-02,909.67,P003
1067,2024-06-12,224.28,P013
1068,2024-06-25,813.23,P003
1069,2024-06-26,993.34,P003
1070,2024-06-21,742.33,P014
1071,2024-06-18,734.82,P003
1072,2024-06-08,102.0,P002
1073,2024-06-11,179.77,P008
1074,2024-06-01,934.07,P018
1075,2024-06-26,647.57,P019
1076,2024-06-20,801.54,P017
1077,2024-06-19,918.93,P014
1078,2024-06-04,270.67,P001
1079,2024-06-05,516.09,P006
1080,2024-06-07,246.4,P012
1081,2024-06-16,100.99,P003
